rank,id,title,score,workType,subjectType,templateId,templateName,compositionPatterns,styleKeywords,lightingCamera,containsText,textRequirement,failureRisks,detailUrl,whySelected
"63","15000","科幻机甲蓝图机库","76","信息图/图解","信息结构","T07","爆炸视图/结构图解","full-body; callout; horizontal","realistic; photorealistic; cinematic; sci-fi","volumetric; high contrast","true","要求精确文字；包含标注/说明","文字可读性/准确拼写; 结构化布局精度; 元素位置与数量控制; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15000","得分 76；构图: full-body, callout, horizontal；风格: realistic, photorealistic, cinematic, sci-fi；要求精确文字；包含标注/说明"
"64","14627","高端未来感 AI 工作空间","76","UI/界面","界面","T09","SaaS 仪表盘","centered; symmetrical; grid; vertical","cinematic; 3d; sci-fi; premium","neon; volumetric","true","要求精确文字；文字是主视觉","文字可读性/准确拼写; 结构化布局精度; 元素位置与数量控制","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14627","得分 76；构图: centered, symmetrical, grid, vertical；风格: cinematic, 3d, sci-fi, premium；要求精确文字；文字是主视觉"
"65","15799","暗黑奇幻兽人战争领袖 TCG 卡牌","75","插画/漫画","人物","T03","动作漫画/动漫场景","centered; vertical","fantasy","","true","要求精确文字；要求可读；文字是主视觉","文字可读性/准确拼写","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15799","得分 75；构图: centered, vertical；风格: fantasy；要求精确文字；要求可读；文字是主视觉"
"66","14565","蒸汽朋克风格 ElectroVid 首页设计稿","75","UI/界面","界面","T09","SaaS 仪表盘","centered; symmetrical; horizontal","cinematic; vintage","","true","要求精确文字；要求可读；包含标注/说明；文字是主视觉","文字可读性/准确拼写; 结构化布局精度","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14565","得分 75；构图: centered, symmetrical, horizontal；风格: cinematic, vintage；要求精确文字；要求可读；包含标注/说明；文字是主视觉"
"67","15333","可爱的日系浪漫喜剧电影海报","75","图标/贴纸","人物","T16","图标/贴纸套组","close-up; full-body; poster layout; layered; vertical","anime","","true","包含标注/说明；文字是主视觉","文字可读性/准确拼写","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15333","得分 75；构图: close-up, full-body, poster layout, layered, vertical；风格: anime；包含标注/说明；文字是主视觉"
"68","14956","特摄英雄参考图集","74","信息图/图解","产品","T07","爆炸视图/结构图解","close-up; callout; layered","realistic; photorealistic; sci-fi; premium; studio","lens","true","包含标注/说明；文字是主视觉","文字可读性/准确拼写; 结构化布局精度; 元素位置与数量控制; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14956","得分 74；构图: close-up, callout, layered；风格: realistic, photorealistic, sci-fi, premium, studio；包含标注/说明；文字是主视觉"
"69","15110","隐藏的刻字米粒","74","信息图/图解","人物","T07","爆炸视图/结构图解","centered; close-up; callout; horizontal","realistic; photorealistic","camera","true","要求精确文字；要求可读；包含标注/说明","文字可读性/准确拼写; 结构化布局精度; 元素位置与数量控制; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15110","得分 74；构图: centered, close-up, callout, horizontal；风格: realistic, photorealistic；要求精确文字；要求可读；包含标注/说明"
"70","15612","复古中国美食地图海报","74","信息图/图解","信息结构","T13","地图/空间导览","","realistic; vintage; watercolor; premium; ink wash","","true","要求精确文字；包含标注/说明","文字可读性/准确拼写; 结构化布局精度; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15612","得分 74；风格: realistic, vintage, watercolor, premium, ink wash；要求精确文字；包含标注/说明"
"71","15059","Mirassol FC 球员签约官宣海报","74","图标/贴纸","文字符号","T16","图标/贴纸套组","centered; callout; vertical","cinematic; premium","rim light","true","包含标注/说明；文字是主视觉","文字可读性/准确拼写; 元素位置与数量控制","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15059","得分 74；构图: centered, callout, vertical；风格: cinematic, premium；包含标注/说明；文字是主视觉"
"72","15441","桃园结义电影感场景","74","海报/封面","产品","T20","文化节日/地域视觉","centered; symmetrical; layered","realistic; cinematic","","true","要求精确文字","文字可读性/准确拼写; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15441","得分 74；构图: centered, symmetrical, layered；风格: realistic, cinematic；要求精确文字"
"73","15800","奇幻法师集换式卡牌","73","插画/漫画","产品","T03","动作漫画/动漫场景","centered; layered; vertical","realistic; cinematic; fantasy; premium","","true","要求精确文字；要求可读；文字是主视觉","文字可读性/准确拼写; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15800","得分 73；构图: centered, layered, vertical；风格: realistic, cinematic, fantasy, premium；要求精确文字；要求可读；文字是主视觉"
"74","14432","动漫武士游戏广告海报","73","插画/漫画","人物","T03","动作漫画/动漫场景","centered; layered; vertical","cinematic; anime; fantasy; premium","neon","true","包含文字或排版元素","文字可读性/准确拼写","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14432","得分 73；构图: centered, layered, vertical；风格: cinematic, anime, fantasy, premium；包含文字或排版元素"
"75","13460","VR 头显爆炸视图海报","73","信息图/图解","产品","T07","爆炸视图/结构图解","exploded view; callout; vertical","3d; studio","studio lighting; lens; camera","true","包含标注/说明；文字是主视觉","文字可读性/准确拼写; 结构化布局精度; 元素位置与数量控制","https://youmind.com/zh-CN/gpt-image-2-prompts?id=13460","得分 73；构图: exploded view, callout, vertical；风格: 3d, studio；包含标注/说明；文字是主视觉"
"76","15389","未来感董事会分析会议","73","UI/界面","界面","T09","SaaS 仪表盘","centered; vertical; horizontal","realistic; photorealistic; cinematic; editorial","lens","true","要求精确文字","文字可读性/准确拼写; 结构化布局精度; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15389","得分 73；构图: centered, vertical, horizontal；风格: realistic, photorealistic, cinematic, editorial；要求精确文字"
"77","14892","中国宿舍直播截图","73","UI/界面","界面","T10","移动 App 截图","vertical","realistic; photorealistic","camera","true","要求精确文字；包含标注/说明","文字可读性/准确拼写; 结构化布局精度; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14892","得分 73；构图: vertical；风格: realistic, photorealistic；要求精确文字；包含标注/说明"
"78","15029","极简男性头像 Logo 网格","73","图标/贴纸","文字符号","T16","图标/贴纸套组","centered; symmetrical; grid; vertical; horizontal","","","true","禁止额外文字；文字是主视觉","文字可读性/准确拼写; 元素位置与数量控制","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15029","得分 73；构图: centered, symmetrical, grid, vertical, horizontal；禁止额外文字；文字是主视觉"
"79","14497","日本 X 变现缩略图","72","UI/界面","文字符号","T09","SaaS 仪表盘","layered","anime; 3d","dramatic lighting; neon; high contrast; depth of field; lens","true","包含标注/说明；文字是主视觉","文字可读性/准确拼写; 结构化布局精度","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14497","得分 72；构图: layered；风格: anime, 3d；包含标注/说明；文字是主视觉"
"80","14173","Cultural Garment Infographic","72","海报/封面","人物","T20","文化节日/地域视觉","close-up; full-body","realistic; photorealistic; vintage","","true","包含标注/说明","文字可读性/准确拼写; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14173","得分 72；构图: close-up, full-body；风格: realistic, photorealistic, vintage；包含标注/说明"
"81","14403","日本绿色科技宣传拼贴画","71","UI/界面","界面","T08","电商直播/UI 样机","close-up; grid; 2x2","realistic","natural light","true","包含标注/说明；文字是主视觉","文字可读性/准确拼写; 结构化布局精度; 元素位置与数量控制; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14403","得分 71；构图: close-up, grid, 2x2；风格: realistic；包含标注/说明；文字是主视觉"
"82","15795","印尼学校营养计划落地页","71","UI/界面","界面","T08","电商直播/UI 样机","centered; vertical; horizontal","realistic; documentary","shallow depth; depth of field","true","要求精确文字；包含标注/说明；文字是主视觉","文字可读性/准确拼写; 结构化布局精度; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15795","得分 71；构图: centered, vertical, horizontal；风格: realistic, documentary；要求精确文字；包含标注/说明；文字是主视觉"
"83","14437","梦幻山水女子剪影","71","海报/封面","人物","T20","文化节日/地域视觉","layered; vertical","cinematic; fantasy; watercolor; premium","","true","包含文字或排版元素","文字可读性/准确拼写","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14437","得分 71；构图: layered, vertical；风格: cinematic, fantasy, watercolor, premium；包含文字或排版元素"
"84","14126","Oriental Aesthetics Ink Wash Poster","71","海报/封面","人物","T20","文化节日/地域视觉","centered; vertical","cinematic; minimalist; ink wash","","true","包含文字或排版元素","文字可读性/准确拼写","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14126","得分 71；构图: centered, vertical；风格: cinematic, minimalist, ink wash；包含文字或排版元素"
"85","14540","AI Thinking App 截图","70","UI/界面","界面","T10","移动 App 截图","grid; horizontal","realistic","","true","文字是主视觉","文字可读性/准确拼写; 结构化布局精度; 元素位置与数量控制; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14540","得分 70；构图: grid, horizontal；风格: realistic；文字是主视觉"
"86","14993","可爱猫咪贴纸集","70","图标/贴纸","产品","T16","图标/贴纸套组","grid; horizontal","hand-drawn","","true","禁止额外文字；包含标注/说明；文字是主视觉","文字可读性/准确拼写; 元素位置与数量控制","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14993","得分 70；构图: grid, horizontal；风格: hand-drawn；禁止额外文字；包含标注/说明；文字是主视觉"
"87","14255","Vintage 3D Miniature City Map","69","空间/场景","信息结构","T18","等距 3D 空间","isometric; grid; vertical","3d; vintage; isometric","","true","包含标注/说明；文字是主视觉","文字可读性/准确拼写; 元素位置与数量控制","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14255","得分 69；构图: isometric, grid, vertical；风格: 3d, vintage, isometric；包含标注/说明；文字是主视觉"
"88","14480","ChatGPT 应用展示微信朋友圈截图","68","UI/界面","界面","T10","移动 App 截图","horizontal","realistic; photorealistic","","true","要求精确文字；文字是主视觉","文字可读性/准确拼写; 结构化布局精度; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14480","得分 68；构图: horizontal；风格: realistic, photorealistic；要求精确文字；文字是主视觉"
"89","13883","Chalkboard AI 产品信息图","68","信息图/图解","信息结构","T12","流程图/步骤图","grid; 2x2; vertical; horizontal","hand-drawn","","true","文字是主视觉","文字可读性/准确拼写; 结构化布局精度; 元素位置与数量控制","https://youmind.com/zh-CN/gpt-image-2-prompts?id=13883","得分 68；构图: grid, 2x2, vertical, horizontal；风格: hand-drawn；文字是主视觉"
"90","15638","静安寺站 2 号线入口","68","信息图/图解","文字符号","T13","地图/空间导览","centered","realistic; documentary","","true","要求精确文字","文字可读性/准确拼写; 结构化布局精度; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15638","得分 68；构图: centered；风格: realistic, documentary；要求精确文字"
"91","14400","GTA 风格海滩俱乐部游戏截图","67","信息图/图解","人物","T13","地图/空间导览","","realistic; cinematic; luxury","neon; camera","true","要求精确文字；包含标注/说明","文字可读性/准确拼写; 结构化布局精度; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14400","得分 67；风格: realistic, cinematic, luxury；要求精确文字；包含标注/说明"
"92","15328","温馨动漫风 ASMR 耳部按摩少女","67","空间/场景","产品","T18","等距 3D 空间","centered; vertical","anime; 3d","neon; shallow depth; depth of field","true","包含文字或排版元素","文字可读性/准确拼写","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15328","得分 67；构图: centered, vertical；风格: anime, 3d；包含文字或排版元素"
"93","14661","带有广告设计网格的 AI 聊天截图","66","UI/界面","界面","T10","移动 App 截图","close-up; grid; 2x2; callout","realistic; luxury; premium","","true","包含标注/说明；文字是主视觉","文字可读性/准确拼写; 结构化布局精度; 元素位置与数量控制; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14661","得分 66；构图: close-up, grid, 2x2, callout；风格: realistic, luxury, premium；包含标注/说明；文字是主视觉"
"94","14542","带有宇宙艺术风格的 AI 聊天截图","66","UI/界面","界面","T10","移动 App 截图","centered; layered; vertical","watercolor; oil painting","","true","包含文字或排版元素","文字可读性/准确拼写; 结构化布局精度","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14542","得分 66；构图: centered, layered, vertical；风格: watercolor, oil painting；包含文字或排版元素"
"95","15292","Scrapbook Byte-level BPE 原理解析","66","信息图/图解","产品","T12","流程图/步骤图","horizontal","hand-drawn","","true","要求精确文字；包含标注/说明","文字可读性/准确拼写; 结构化布局精度","https://youmind.com/zh-CN/gpt-image-2-prompts?id=15292","得分 66；构图: horizontal；风格: hand-drawn；要求精确文字；包含标注/说明"
"96","14934","日本法律与税务服务 LP 首屏设计","66","空间/场景","人物","T18","等距 3D 空间","vertical; horizontal","premium","","true","要求精确文字；文字是主视觉","文字可读性/准确拼写","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14934","得分 66；构图: vertical, horizontal；风格: premium；要求精确文字；文字是主视觉"
"97","14686","忧郁风格遮挡室内自拍肖像","66","空间/场景","人物","T18","等距 3D 空间","centered; vertical","realistic; photorealistic","shallow depth; depth of field; camera","true","包含文字或排版元素","文字可读性/准确拼写; 过度真实导致细节瑕疵显眼","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14686","得分 66；构图: centered, vertical；风格: realistic, photorealistic；包含文字或排版元素"
"98","14185","Magical Sleep Website Mockup","65","空间/场景","人物","T18","等距 3D 空间","horizontal","fantasy","volumetric","true","包含标注/说明；文字是主视觉","文字可读性/准确拼写","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14185","得分 65；构图: horizontal；风格: fantasy；包含标注/说明；文字是主视觉"
"99","13611","动漫艺术创作流程信息图","61","信息图/图解","人物","T12","流程图/步骤图","close-up","anime; studio","lens","true","包含标注/说明；文字是主视觉","文字可读性/准确拼写; 结构化布局精度","https://youmind.com/zh-CN/gpt-image-2-prompts?id=13611","得分 61；构图: close-up；风格: anime, studio；包含标注/说明；文字是主视觉"
"100","14048","复杂信息图表说明表","59","信息图/图解","信息结构","T12","流程图/步骤图","grid","anime","","true","包含标注/说明","文字可读性/准确拼写; 结构化布局精度; 元素位置与数量控制","https://youmind.com/zh-CN/gpt-image-2-prompts?id=14048","得分 59；构图: grid；风格: anime；包含标注/说明"
